CustomerID,Gender,Age,Annual_Income_k,Spending_Score,Gender_encoded,Cluster,PCA1,PCA2
40,Female,39,65,22,0,2,-0.7087412588897453,-0.7502427888703034
41,Male,63,32,36,1,0,-0.22053438862249622,0.3909632719603126
42,Female,47,79,39,0,2,-0.7845373566169787,-0.4827177247503541
43,Male,55,54,43,1,0,-0.034959325423410036,0.7889863413844083
44,Female,55,63,49,0,2,-0.5766095517904117,-0.814733312659152
45,Male,62,84,17,1,0,-1.5684232142799817,1.5333392187998656
46,Female,68,18,28,0,2,-1.0061906408856,-1.6205805670038356
47,Male,25,30,82,1,1,2.7533792967269197,0.023289152517524423
48,Female,44,61,12,0,2,-1.1449459688625994,-0.7768606539257277
49,Female,44,64,20,0,2,-0.9626255492259397,-0.7421293282677437
50,Male,51,89,43,1,0,-0.4317953775131484,1.4990724429055506
51,Female,38,88,60,0,2,0.05807172136195267,-0.40774746661459405
52,Female,47,75,55,0,2,-0.25797714940361316,-0.6211640203121986
53,Female,50,50,9,0,2,-1.3082433539361877,-0.9688021672625101
54,Female,45,45,34,0,2,-0.293380781532279,-1.1811299014071666
55,Female,64,15,55,0,2,-0.008458318490138658,-1.793838048236469
56,Female,50,26,45,0,2,0.11939616420395473,-1.5921697525933785
57,Male,22,42,74,1,1,2.455591126955509,0.2872248377628584
58,Male,65,52,38,1,0,-0.5715899348481333,0.8086684323901976
59,Male,36,66,38,1,0,0.4333655338638802,0.9721756670229293
60,Male,21,32,92,1,1,3.179497446362677,0.012724031335186434
61,Male,52,67,38,1,0,-0.26235334573182306,1.0633474119155135
62,Male,66,44,30,1,0,-0.7154211044398756,0.6743814364311076
63,Female,34,55,40,0,2,0.18504679621784736,-1.042338807849176
64,Male,61,38,63,1,0,0.546529634776711,0.4136214491933105
65,Male,45,46,19,1,0,-0.17340818187633147,0.6615952277202358
66,Female,47,36,21,0,2,-0.6078005920167937,-1.3145331399128874
67,Male,46,51,34,1,0,0.13609213151355173,0.7181209572868927
68,Female,63,48,6,0,2,-1.914561207631561,-0.9428340064446602
69,Male,23,22,80,1,1,2.9101316014245007,-0.1449252716589857
70,Female,52,58,46,0,2,-0.4548246523020724,-0.9215186861094488
71,Female,58,74,37,0,2,-1.2284765033277916,-0.5313750240721183
72,Male,54,38,38,1,0,0.12227195344409963,0.46920907224545844
73,Male,41,103,41,1,0,-0.2915022108828202,1.7530672767578257
74,Female,46,66,34,0,2,-0.6758818881314829,-0.7401223098259605
75,Female,66,85,22,0,2,-2.1792817107477047,-0.21565721039407368
76,Female,63,81,28,0,2,-1.8139304892823627,-0.332748217362619
77,Female,48,48,36,0,2,-0.41164383618494305,-1.1124711475317621
78,Male,52,66,69,1,0,0.6485614823845413,0.9354462534069633
79,Male,50,66,38,1,0,-0.161220541087606,1.033758910952132
80,Male,69,89,45,1,0,-1.138539130660391,1.571340559784614
81,Female,38,62,77,0,2,0.9697165667957549,-1.0070486151082956
82,Female,49,47,23,0,2,-0.8131287070963888,-1.0839460316730336
83,Male,40,58,31,1,0,0.1909850912491536,0.84762991067657
84,Male,50,66,30,1,0,-0.39211677110627946,1.0614002693574918
85,Male,20,15,65,1,1,2.7179560294728393,-0.25183039687680536
86,Male,35,65,67,1,1,1.3290267384006822,0.8467860449779189
87,Female,42,64,100,0,1,1.431277618811007,-1.0273405185969418
88,Female,59,85,27,0,2,-1.7376785295102908,-0.2637246813620248
89,Female,48,81,44,0,2,-0.7150815203684232,-0.4540129812403413
90,Female,20,49,82,0,1,2.0889896995313975,-1.3737845515332048
91,Male,57,61,39,1,0,-0.3486918658409917,0.9571408896771572
92,Female,63,75,71,0,2,-0.47571163216796497,-0.6060658869181151
93,Female,41,80,40,0,2,-0.5170446611080122,-0.49177481869004397
94,Female,67,23,70,0,2,0.16752531666751846,-1.6661420283308683
95,Female,49,55,44,0,2,-0.33656159764940835,-0.9901774399848531
96,Female,64,94,39,0,2,-1.7494137852538534,-0.09607465109103262
97,Female,39,71,78,0,2,0.8103807304769409,-0.8189869295811343
98,Male,40,84,61,1,0,0.6358555971750579,1.2845380785387828
99,Male,19,22,88,1,1,3.3109095671435993,-0.19016184261554622
100,Male,44,83,22,1,0,-0.643453323072395,1.4160940186283313
101,Male,59,69,1,1,0,-1.6599253206319402,1.2635621058804662
102,Female,19,80,53,0,2,0.7925112590246678,-0.6334656951303578
103,Male,43,107,33,1,0,-0.6721070559277247,1.8726698201899108
104,Female,34,86,31,0,2,-0.5766615031673046,-0.36672454432192825
105,Female,57,78,30,0,2,-1.4528080178450433,-0.42842405985410376
106,Male,50,68,35,1,0,-0.28019050093261794,1.0857062097297043
107,Male,26,25,77,1,1,2.6475584030101658,-0.05899066878023159
108,Female,60,51,53,0,2,-0.47921036487854984,-1.0560507124262057
109,Male,65,56,33,1,0,-0.7806678257858227,0.9091078601446724
110,Male,56,90,77,1,0,0.3209694936466783,1.4243815800595536
111,Male,46,74,29,1,0,-0.3806325585102262,1.2135873841092106
112,Male,59,53,20,1,0,-0.8524757856335162,0.8652595646632372
113,Female,43,62,44,0,2,-0.19508255165680394,-0.8710339959971857
114,Female,52,95,31,0,2,-1.4868567449652574,-0.10042803565149382
115,Female,67,38,35,0,2,-1.0855247415742477,-1.233347664990701
116,Female,42,79,50,0,2,-0.25470287071577186,-0.5427186082467248
117,Female,41,91,51,0,2,-0.3776736495663874,-0.30108184493182016
118,Male,30,90,34,1,0,0.1841335393490688,1.4585849999055576
119,Female,24,72,73,0,1,1.2869351587978577,-0.8469022329570061
120,Female,53,67,20,0,2,-1.3934352649339092,-0.6401674159641983
121,Female,62,68,46,0,2,-1.0414483594931807,-0.6696217078536346
122,Female,37,52,16,0,2,-0.5864773852314775,-1.00859100728304
123,Male,18,49,62,1,1,2.165784960069891,0.4566279256341659
124,Male,25,49,50,1,1,1.5221475775661373,0.5288815852068067
125,Male,63,32,38,1,0,-0.16281033111782786,0.3840529323589727
126,Male,33,68,7,1,0,-0.3663299292711702,1.1076713108058602
127,Female,31,102,23,0,2,-0.939217420114734,-0.019625280325469487
128,Female,29,84,60,0,2,0.5050733738639268,-0.5305002736059208
129,Male,68,67,64,1,0,-0.191467540972833,1.0438938473028974
130,Female,40,105,89,0,2,0.5348667618313524,-0.14570457486614194
131,Male,32,45,27,1,0,0.6257956259627266,0.5559785338356925
132,Male,45,64,50,1,0,0.42985984715394426,0.9287210682795289
133,Male,51,60,5,1,0,-1.0589863030757123,1.0274329493853538
134,Male,19,52,67,1,1,2.2190488595244418,0.5061235638319598
135,Female,49,56,1,0,2,-1.5938207707937828,-0.8208142438682632
136,Male,40,91,52,1,0,0.26275378084601775,1.461170869559281
137,Female,39,111,48,0,2,-0.7031576038532708,0.11630395195021394
138,Female,68,70,49,0,2,-1.2420687503748244,-0.612012609053281
139,Male,42,40,100,1,1,2.3889790696020836,0.24378469632588054
140,Female,39,66,59,0,2,0.34296186815261476,-0.857293176807311
141,Female,39,88,33,0,2,-0.7636734888761764,-0.3100590788587047
142,Male,66,93,39,1,0,-1.249067748575096,1.662038747926358
143,Female,69,56,37,0,2,-1.4041964142118755,-0.8572242939363783
144,Male,59,74,35,1,0,-0.7595760270226012,1.2500408060965933
145,Male,23,58,44,1,1,1.2881888417563028,0.7279330499252572
146,Male,32,60,7,1,0,-0.19432400099402677,0.9369453501658103
147,Female,60,96,70,0,2,-0.7171930318190783,-0.17919833808743987
148,Female,54,71,16,0,2,-1.6161215610443709,-0.5387843548725935
149,Male,50,103,24,1,0,-1.164390604998457,1.8513943916094169
150,Male,25,42,72,1,1,2.270455767675522,0.3073315867775989
151,Female,61,68,46,0,2,-0.9989779255680744,-0.6740205109914349
152,Male,61,72,32,1,0,-0.8987191075418067,1.2276221323986412
153,Male,22,55,67,1,1,2.0430617473671093,0.5816926573087041
154,Female,56,70,43,0,2,-0.9055957157875555,-0.6440672279028634
155,Female,21,56,79,0,1,1.8465896217912559,-1.213483976178926
156,Male,23,38,76,1,1,2.5356124977110897,0.20154972254819384
157,Female,62,72,11,0,2,-2.1163871130008953,-0.46552718607906074
158,Female,49,55,45,0,2,-0.30769956889707417,-0.993632609785523
159,Male,69,91,49,1,0,-1.0554748892390635,1.5991016699574965
160,Female,47,92,27,0,2,-1.3413768799670496,-0.17097405620115855
161,Male,64,65,49,1,0,-0.42213236296941176,1.0365443923861837
162,Female,52,18,62,0,2,0.6546452794954607,-1.8084371904314174
163,Female,57,27,52,0,2,0.007945391200546173,-1.5647734245456857
164,Female,69,72,1,0,2,-2.7023004379999804,-0.40018386610775974
165,Male,33,29,78,1,1,2.3143596471107384,0.051509362134824634
166,Female,30,99,32,0,2,-0.5884129170366063,-0.1174932957326431
167,Male,67,44,44,1,0,-0.35382313583230324,0.6304078623595283
168,Male,59,60,53,1,0,-0.013372394364520944,0.8967752240555967
169,Male,47,69,63,1,0,0.639165669114053,0.9965559405853258
170,Female,36,94,64,0,2,0.1613090834574738,-0.305620383966187
171,Female,34,68,41,0,2,0.0034136466481210063,-0.7755123467086901
172,Male,36,74,86,1,1,1.6892074196238835,0.9726546740930206
173,Female,45,53,39,0,2,-0.2786061321226453,-1.0320785929082665
174,Male,43,30,63,1,1,1.4405329397806592,0.16811583521065723
175,Female,54,101,18,0,2,-2.044155607359842,0.0780321461595035
176,Male,43,138,53,1,0,-0.5968165214951853,2.4480841594977294
177,Female,40,24,42,0,2,0.4898982907860231,-1.667374063944933
178,Male,26,65,99,1,1,2.6348455638013317,0.6966313831162781
179,Female,29,56,93,0,1,1.9108945529230852,-1.2266659282859043
180,Male,18,27,59,1,1,2.4354214832809906,0.009593751904988821
181,Male,18,20,60,1,1,2.5776270695913572,-0.13939768071015
182,Male,64,74,38,1,0,-0.8853421103911295,1.2616693123835843
183,Female,51,76,18,0,2,-1.5119458857344072,-0.45493663044842775
184,Female,49,44,38,0,2,-0.3316224654293622,-1.1981462627464268
185,Male,65,49,58,1,0,0.05422645058056431,0.6771923523134545
186,Female,42,62,40,0,2,-0.2680602327410345,-0.8616121199323059
187,Female,57,68,27,0,2,-1.3774747361619992,-0.6259674973299062
188,Female,62,38,15,0,2,-1.4504131469954007,-1.1862382846663024
189,Female,18,53,49,0,1,1.1567158713785628,-1.1853979756355713
190,Male,33,103,36,1,0,-0.09604888324364194,1.7351527006587741
191,Male,56,71,23,1,0,-0.9299332598932789,1.2159337502278886
192,Female,22,31,73,0,1,2.0357454352022613,-1.7081265214316368
193,Female,39,96,45,0,2,-0.5468646382002034,-0.18519395896449461
194,Female,46,59,49,0,2,-0.12960789928843755,-0.9374861196504786
195,Male,20,58,69,1,1,2.137150862339976,0.6283573954951075
196,Male,29,38,71,1,1,2.136479750398782,0.24521839037834472
197,Female,43,71,56,0,2,0.005534362225164303,-0.7253779814151942
198,Female,33,51,55,0,2,0.7252154086039848,-1.1817287367481506
199,Female,68,47,51,0,2,-0.811930146608049,-1.0971135264735892
200,Female,54,48,23,0,2,-1.0416728135159246,-1.0411611212962515
